scaler,params,accuracy
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 129)}",0.9355555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 121)}",0.9322222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 64)}",0.9311111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 290)}",0.9311111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 189)}",0.93
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 55)}",0.9288888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 108)}",0.9288888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 219)}",0.9288888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 293)}",0.9288888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 30)}",0.9277777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 137)}",0.9277777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 167)}",0.9277777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 256)}",0.9277777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 92)}",0.9266666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 161)}",0.9266666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 165)}",0.9266666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 176)}",0.9266666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 198)}",0.9266666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 62)}",0.9255555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 174)}",0.9255555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 251)}",0.9255555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 253)}",0.9255555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 18)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 135)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 170)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 191)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 271)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 125)}",0.9233333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 265)}",0.9233333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 52)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 80)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 182)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 184)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 193)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 194)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 216)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 297)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 131)}",0.9211111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 286)}",0.9211111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 17)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 21)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 48)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 123)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 141)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 164)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 227)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 232)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 245)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 8)}",0.9188888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 24)}",0.9188888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 25)}",0.9188888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 91)}",0.9188888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 196)}",0.9188888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274, 177, 199)}",0.9188888888888889
