scaler,params,accuracy
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (274,)}",0.9177777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (74,)}",0.8966666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (218,)}",0.8922222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (70,)}",0.8888888888888888
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (51,)}",0.8866666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (275,)}",0.8844444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (66,)}",0.88
min_max,"{'activation': 'logistic', 'hidden_layer_sizes': (59,)}",0.8722222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (226,)}",0.8711111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (54,)}",0.87
max_abs,"{'activation': 'tanh', 'hidden_layer_sizes': (204,)}",0.8677777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (156,)}",0.8666666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (201,)}",0.8644444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (234,)}",0.8611111111111112
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (253,)}",0.86
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (168,)}",0.8566666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (171,)}",0.8566666666666667
max_abs,"{'activation': 'tanh', 'hidden_layer_sizes': (59,)}",0.8544444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (142,)}",0.8533333333333334
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (239,)}",0.85
max_abs,"{'activation': 'tanh', 'hidden_layer_sizes': (160,)}",0.85
max_abs,"{'activation': 'tanh', 'hidden_layer_sizes': (223,)}",0.85
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (220,)}",0.8488888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (231,)}",0.8488888888888889
min_max,"{'activation': 'relu', 'hidden_layer_sizes': (59,)}",0.8488888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (95,)}",0.8477777777777777
