scaler,params,accuracy
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161)}",0.9433333333333334
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 134)}",0.9344444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 258)}",0.9333333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 94)}",0.9322222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 204)}",0.9322222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 294)}",0.9322222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 50)}",0.9311111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 101)}",0.9311111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 259)}",0.93
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 300)}",0.93
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 142)}",0.9288888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 260)}",0.9288888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 275)}",0.9266666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 194)}",0.9255555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 67)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 270)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 52)}",0.9233333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 184)}",0.9233333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 274)}",0.9233333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 122)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 133)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 232)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 14)}",0.9211111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 79)}",0.9211111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 72)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 149)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 218)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 222)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 280)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 209)}",0.9177777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 237)}",0.9177777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 98)}",0.9155555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 192)}",0.9155555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 235)}",0.9155555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 170)}",0.9144444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 178)}",0.9144444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 298)}",0.9144444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 269)}",0.9133333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 104)}",0.9122222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 129)}",0.9122222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 217)}",0.9122222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 221)}",0.9122222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 242)}",0.9122222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 267)}",0.9122222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 25)}",0.9111111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 189)}",0.9111111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 226)}",0.9111111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 285)}",0.9111111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 110)}",0.91
