scaler,params,accuracy
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 17)}",0.9444444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 280)}",0.9411111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 147)}",0.9388888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 197)}",0.9366666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 200)}",0.9366666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 94)}",0.9344444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 222)}",0.9344444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 270)}",0.9344444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 275)}",0.9344444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 115)}",0.9333333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 245)}",0.9333333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 28)}",0.9322222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 118)}",0.9322222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 135)}",0.9322222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 193)}",0.9322222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 269)}",0.9322222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 4)}",0.9311111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 185)}",0.9311111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 176)}",0.9288888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 40)}",0.9277777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 74)}",0.9277777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 153)}",0.9277777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 125)}",0.9266666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 111)}",0.9255555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 227)}",0.9255555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 265)}",0.9255555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 162)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 164)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 173)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 252)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 297)}",0.9244444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 132)}",0.9233333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 195)}",0.9233333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 232)}",0.9233333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 266)}",0.9233333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 107)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 181)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 229)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 272)}",0.9222222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 30)}",0.9211111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 93)}",0.9211111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 183)}",0.9211111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 26)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 92)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 291)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 113)}",0.9188888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 249)}",0.9188888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 43)}",0.9177777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 166)}",0.9177777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 180)}",0.9177777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47, 161, 294)}",0.9177777777777778
