scaler,params,accuracy
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (47,)}",0.9444444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (157,)}",0.94
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (243,)}",0.9355555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (300,)}",0.9333333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (290,)}",0.9211111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (185,)}",0.92
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (297,)}",0.9177777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (251,)}",0.9166666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (164,)}",0.9155555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (295,)}",0.9155555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (114,)}",0.9144444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (244,)}",0.9133333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (248,)}",0.9133333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (99,)}",0.91
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (264,)}",0.9088888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (273,)}",0.9044444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (94,)}",0.9033333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (117,)}",0.9033333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (198,)}",0.9033333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (238,)}",0.9022222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (192,)}",0.9011111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (210,)}",0.9
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (289,)}",0.8977777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (127,)}",0.8966666666666666
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (130,)}",0.8944444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (186,)}",0.8944444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (231,)}",0.8944444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (121,)}",0.8933333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (178,)}",0.8933333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (197,)}",0.8933333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (173,)}",0.8922222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (196,)}",0.8922222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (107,)}",0.8911111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (227,)}",0.89
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (276,)}",0.89
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (206,)}",0.8866666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (115,)}",0.8844444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (260,)}",0.8833333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (275,)}",0.8833333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (294,)}",0.8811111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (61,)}",0.88
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (154,)}",0.88
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (161,)}",0.88
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (170,)}",0.88
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (256,)}",0.88
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (98,)}",0.8788888888888889
min_max,"{'activation': 'relu', 'hidden_layer_sizes': (264,)}",0.8788888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (261,)}",0.8777777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (271,)}",0.8777777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (36,)}",0.8766666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (91,)}",0.8766666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (106,)}",0.8766666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (168,)}",0.8766666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (284,)}",0.8766666666666667
min_max,"{'activation': 'relu', 'hidden_layer_sizes': (265,)}",0.8755555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (163,)}",0.8744444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (266,)}",0.8744444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (29,)}",0.8733333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (153,)}",0.8733333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (223,)}",0.8722222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (280,)}",0.8722222222222222
max_abs,"{'activation': 'tanh', 'hidden_layer_sizes': (229,)}",0.8722222222222222
max_abs,"{'activation': 'tanh', 'hidden_layer_sizes': (249,)}",0.8722222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (272,)}",0.8711111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (116,)}",0.87
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (176,)}",0.87
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (278,)}",0.87
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (155,)}",0.8666666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (247,)}",0.8666666666666667
max_abs,"{'activation': 'tanh', 'hidden_layer_sizes': (205,)}",0.8666666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (125,)}",0.8644444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (150,)}",0.8622222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (257,)}",0.8622222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (187,)}",0.86
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (204,)}",0.86
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (296,)}",0.8577777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (147,)}",0.8555555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (193,)}",0.8555555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (269,)}",0.8555555555555555
max_abs,"{'activation': 'tanh', 'hidden_layer_sizes': (238,)}",0.8555555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (152,)}",0.8522222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (156,)}",0.8511111111111112
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (242,)}",0.8511111111111112
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (167,)}",0.85
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (177,)}",0.8488888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (199,)}",0.8488888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (216,)}",0.8488888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (191,)}",0.8477777777777777
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (85,)}",0.8466666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (220,)}",0.8466666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (249,)}",0.8455555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (287,)}",0.8455555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (229,)}",0.8444444444444444
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (112,)}",0.8422222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (240,)}",0.8422222222222222
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (108,)}",0.8411111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (140,)}",0.8411111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (189,)}",0.8388888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (42,)}",0.8377777777777777
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (93,)}",0.8377777777777777
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (70,)}",0.8366666666666667
min_max,"{'activation': 'relu', 'hidden_layer_sizes': (262,)}",0.8366666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (235,)}",0.8355555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (241,)}",0.8355555555555556
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (169,)}",0.8333333333333334
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (171,)}",0.8333333333333334
