scaler,params,accuracy
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (215,)}",0.9122222222222223
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (149,)}",0.9111111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (222,)}",0.8988888888888888
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (154,)}",0.8944444444444445
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (295,)}",0.89
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (265,)}",0.8833333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (221,)}",0.88
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (247,)}",0.8788888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (257,)}",0.8777777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (24,)}",0.8755555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (121,)}",0.8755555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (238,)}",0.8755555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (278,)}",0.8755555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (169,)}",0.8733333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (216,)}",0.8733333333333333
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (198,)}",0.8711111111111111
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (160,)}",0.87
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (181,)}",0.87
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (258,)}",0.8688888888888889
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (35,)}",0.8677777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (217,)}",0.8677777777777778
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (48,)}",0.8666666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (210,)}",0.8666666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (289,)}",0.8666666666666667
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (110,)}",0.8655555555555555
standard,"{'activation': 'tanh', 'hidden_layer_sizes': (207,)}",0.8655555555555555
